TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SMLS3;22,40;;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,10;4,21;18,78;-2,54;1,10;37,96;9,43;24,47;0,25;0,75;0,24;;;;5,47;2,08;-0,33;2.781.160.547,20
SMTO3;27,13;4,18;8,82;1,66;0,51;34,59;35,22;17,30;4,33;7,52;3,17;1,22;1,53;2,85;-0,77;2,11;18,82;5,78;12,87;0,31;0,69;0,33;16,99;30,86;70.345.673,81;16,35;3,08;-0,35;9.639.728.488,67
SNSY3;4,35;;-0,20;-0,02;0,07;17,38;-2,53;-20,78;-1,62;-9,66;-5,85;;0,04;-0,78;-0,18;0,86;-10,62;-36,90;1,41;-3,48;4,51;1,78;16,09;;1.949,06;-208,35;-22,12;0,00;78.991.490,40
SNSY5;2,74;;-0,12;-0,01;0,05;17,38;-2,53;-20,78;-1,02;-9,66;-5,85;;0,03;-0,49;-0,11;0,86;-10,62;-36,90;1,41;-3,48;4,51;1,78;16,09;;4.261,44;-208,35;-22,12;0,00;78.991.490,40
SNSY6;13,33;;-0,60;-0,06;0,22;17,38;-2,53;-20,78;-4,96;-9,66;-5,85;;0,13;-2,38;-0,54;0,86;-10,62;-36,90;1,41;-3,48;4,51;1,78;16,09;;;-208,35;-22,12;-0,01;78.991.490,40
SOJA3;12,20;0,90;12,13;1,95;0,85;10,12;8,27;7,93;11,64;12,17;0,52;0,09;0,96;3,29;-2,94;1,58;16,08;7,03;9,42;0,44;0,52;0,89;;;2.550.352,21;6,25;1,01;-0,92;1.430.283.380,46
SOMA3;8,14;1,11;19,06;0,86;0,60;56,67;9,17;6,88;14,30;16,25;1,94;0,12;1,31;3,97;-0,88;1,93;4,53;3,15;4,59;0,70;0,30;0,46;36,69;33,25;78.539.602,70;9,44;0,43;1,61;6.395.691.089,95
SOND3;46,01;13,11;6,90;1,95;1,25;38,27;15,46;13,58;6,06;3,60;-1,60;-0,52;0,94;3,97;-2,91;2,21;28,31;18,06;18,11;0,64;0,36;1,33;-0,97;;;23,56;6,67;0,04;97.052.960,00
SOND5;36,00;18,43;5,40;1,53;0,97;38,27;15,46;13,58;4,74;3,60;-1,60;-0,52;0,73;3,11;-2,28;2,21;28,31;18,06;18,11;0,64;0,36;1,33;-0,97;;25.527,50;23,56;6,67;0,03;97.052.960,00
SOND6;32,35;20,51;4,85;1,37;0,88;38,27;15,46;13,58;4,26;3,60;-1,60;-0,52;0,66;2,79;-2,05;2,21;28,31;18,06;18,11;0,64;0,36;1,33;-0,97;;19.410,00;23,56;6,67;0,03;97.052.960,00
